"recipientID","recipientName","fullName","valueAmount","year","wide_cat","wide_cat_full","usageStatus","date","type","sort"
"2547659","Тернопільське вище професійне училище № 4 імені Михайла Паращука","Тернопільське вище професійне училище № 4 імені Михайла Паращука",16432,"2020","Продукти харчування","Продукти харчування, напої, тютюн та супутня продукція","Використано","2020-01-30","Школи та інше","4"
"2547659","Тернопільське вище професійне училище № 4 імені Михайла Паращука","Тернопільське вище професійне училище № 4 імені Михайла Паращука",16498.32,"2019","Продукти харчування","Продукти харчування, напої, тютюн та супутня продукція","Використано","2019-01-31","Школи та інше","4"
"14053371","Спеціалізована загальноосвітня школа І ступеня повного дня з поглибленим вивченням іноземних мов","Тернопільська спеціалізована загальноосвітня школа І ступеня повного дня з поглибленим вивченням іноземних мов",40500,"2019","Меблі, інтер'єр та побутова техніка","Меблі (у тому числі офісні меблі), меблево-декоративні вироби, побутова техніка (крім освітлювального обладнання) та засоби для чищення","Використовується","2019-09-20","Школи та інше","1000"
"2547659","Тернопільське вище професійне училище № 4 імені Михайла Паращука","Тернопільське вище професійне училище № 4 імені Михайла Паращука",16583,"2019","Будівельні матеріали","Конструкції та конструкційні матеріали; допоміжна будівельна продукція (крім електроапаратури)","Використано","2019-12-01","Школи та інше","4"
"3071153","Тернопільське вище професійне училище технологій та дизайну","Державний навчальний заклад ""Тернопільське вище професійне училище технологій та дизайну""",16946.64,"2019","Друкована продукція","Друкована та супутня продукція","Використовується","2019-03-17","Школи та інше","1000"
"14034209","Загальноосвітня школа-правовий ліцей № 2","Тернопільський навчально-виховний комплекс ""Загальноосвітня школа І-ІІІ ступенів-правовий ліцей № 2""",17010,"2020","Меблі, інтер'єр та побутова техніка","Меблі (у тому числі офісні меблі), меблево-декоративні вироби, побутова техніка (крім освітлювального обладнання) та засоби для чищення","Використано","2020-03-17","Школи та інше","2"
"2547659","Тернопільське вище професійне училище № 4 імені Михайла Паращука","Тернопільське вище професійне училище № 4 імені Михайла Паращука",17912,"2020","Продукти харчування","Продукти харчування, напої, тютюн та супутня продукція","Використано","2020-02-28","Школи та інше","4"
"2547659","Тернопільське вище професійне училище № 4 імені Михайла Паращука","Тернопільське вище професійне училище № 4 імені Михайла Паращука",17930.7,"2019","Продукти харчування","Продукти харчування, напої, тютюн та супутня продукція","Використано","2019-12-28","Школи та інше","4"
"23596188","ДНЗ №27","Тернопільський дошкільний навчальний заклад №27",17999,"2019","Теле-радіо апаратура","Радіо-, телевізійна, комунікаційна, телекомунікаційна та супутня апаратура й обладнання","Використовується","2019-03-11","ДНЗ","27"
"14034304","Спеціалізована школа № 5 з поглибленим вивченням іноземних мов","Тернопільська спеціалізована школа I-III ступенів № 5 з поглибленим вивченням іноземних мов",18020,"2019","Ділові послуги","Ділові послуги: юридичні, маркетингові, консультаційні, кадрові, поліграфічні та охоронні","Використано","2019-02-12","Школи та інше","5"
"2547671","Тернопільське вище професійне училище сфери послуг та туризму","Державний професійно-технічний навчальний заклад ""Тернопільське вище професійне училище сфери послуг та туризму""",18034,"2019","Продукти харчування","Продукти харчування, напої, тютюн та супутня продукція","Використано","2019-06-03","Школи та інше","1000"
"21150710","Спеціалізована загальноосвітня школа І ступеня повного дня","Тернопільська спеціалізована ЗОШ І ст. повного дня",18952,"2019","Офісна та комп’ютерна техніка","Офісна та комп’ютерна техніка, устаткування та приладдя, крім меблів та пакетів програмного забезпечення","Використовується","2019-11-01","Школи та інше","1000"
"2547671","Тернопільське вище професійне училище сфери послуг та туризму","Державний професійно-технічний навчальний заклад ""Тернопільське вище професійне училище сфери послуг та туризму""",19535,"2019","Меблі, інтер'єр та побутова техніка","Меблі (у тому числі офісні меблі), меблево-декоративні вироби, побутова техніка (крім освітлювального обладнання) та засоби для чищення","Використовується","2019-08-06","Школи та інше","1000"
"3072170","Тернопільський центр професійно-технічної освіти","Державний навчальний заклад ""Тернопільський центр професійно-технічної освіти""",20030,"2019","Сільськогосподарська продукція","Сільськогосподарська, фермерська продукція, продукція рибальства, лісівництва та супутня продукція","Використано","2019-09-05","Школи та інше","1000"
